protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,40,0.99362,2.95442,1.0,0,discharge,0,-2.957,0.986,10.0,9.9,4.1811,4.1313,16.8403,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9999,0,discharge,1,-11.818,3.939,10.0,9.9,4.1808,3.9951,15.7133,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9997,0,discharge,2,-23.642,7.881,10.0,9.9,4.1805,3.836,14.5715,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9991,0,discharge,3,-33.983,11.328,10.0,9.9,4.1792,3.7125,13.7333,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9497,1,discharge,0,-2.957,0.986,10.0,9.9,4.1036,4.0616,14.2041,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9497,1,discharge,1,-11.819,3.94,10.0,9.9,4.1037,3.9438,13.5291,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9496,1,discharge,2,-23.642,7.881,10.0,9.9,4.1037,3.8014,12.7866,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9494,1,discharge,3,-33.981,11.327,10.0,9.9,4.104,3.6822,12.4128,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9005,2,discharge,0,-2.959,0.986,10.0,9.9,4.0828,4.0418,13.856,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9004,2,discharge,1,-11.821,3.94,10.0,9.9,4.0827,3.9261,13.2476,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9003,2,discharge,2,-23.643,7.881,10.0,9.9,4.0829,3.7845,12.6211,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.9002,2,discharge,3,-33.981,11.327,10.0,9.9,4.0832,3.6628,12.3716,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.8019,3,discharge,0,-2.957,0.986,10.0,9.9,4.0285,3.9818,15.7936,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.8019,3,discharge,1,-11.821,3.94,10.0,9.9,4.0287,3.8529,14.8718,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.8017,3,discharge,2,-23.642,7.881,10.0,9.9,4.0288,3.7039,13.7425,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.8017,3,discharge,3,-33.981,11.327,10.0,9.9,4.0292,3.5797,13.228,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.7034,4,discharge,0,-2.957,0.986,10.0,9.9,3.9225,3.8754,15.9272,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.7034,4,discharge,1,-11.821,3.94,10.0,9.9,3.9227,3.7516,14.4742,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.7033,4,discharge,2,-23.641,7.88,10.0,9.9,3.9229,3.61,13.2355,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.7032,4,discharge,3,-33.982,11.327,10.0,9.9,3.9226,3.4916,12.6832,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.6049,5,discharge,0,-2.957,0.986,10.0,9.9,3.8497,3.7994,17.0093,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.6048,5,discharge,1,-11.821,3.94,10.0,9.9,3.8499,3.676,14.7111,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.6047,5,discharge,2,-23.639,7.88,10.0,9.9,3.8501,3.5339,13.3762,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.6046,5,discharge,3,-33.98,11.327,10.0,9.9,3.8497,3.413,12.8517,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.5064,6,discharge,0,-2.958,0.986,10.0,9.9,3.7305,3.6903,13.5921,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
CC,40,0.99362,2.95442,0.5063,6,discharge,1,-11.819,3.94,10.0,9.9,3.7307,3.5751,13.1652,05-10-21_01.48_CC_protocol_HPPC_IN21700_30T_cycle_#40.mat
