cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
EKF_P,0.622,0.9007,10.0,2339,0,560,1.234666347503662,1.070717215538025,0.0,0.24281780421733856,9.356
REFF,0.7845,0.8378,2.0,1340,0,560,1.0018573999404907,0.9976556301116943,0.019238851964473724,0.0,5.36
TRIM,0.7845,0.8378,2.0,3376,0,560,1.0018573999404907,0.9976556301116943,0.0,0.0,13.504
SOLVE,0.7845,0.8378,2.0,22298,17,560,1.0018573999404907,0.9976556301116943,0.0,-60.27949523925781,89.192
FULL,0.7845,0.8378,2.0,25627,17,560,1.0018573999404907,0.9976556301116943,0.0,-60.27949523925781,102.508
FEAT,0.7845,0.8378,2.0,6133,0,560,1.0018573999404907,0.9976556301116943,0.0,0.0,24.532
FEAT_A8,0.7845,0.8378,2.0,3034,0,560,1.0018573999404907,0.9976556301116943,0.0,0.0,12.136
EKF,0.7845,0.8378,2.0,3416,0,560,1.0018573999404907,0.9976556301116943,0.0,0.23585186898708344,13.664
EKF_P,0.7845,0.8378,2.0,2339,0,560,1.0018573999404907,0.9976556301116943,0.0,0.23677779734134674,9.356
REFF,0.8958,0.9297,2.0,1340,0,560,0.972184419631958,0.988231360912323,0.012843078002333641,0.0,5.36
TRIM,0.8958,0.9297,2.0,3396,0,560,0.972184419631958,0.988231360912323,0.0,0.0,13.584
SOLVE,0.8958,0.9297,2.0,23594,18,560,0.972184419631958,0.988231360912323,0.0,-90.5792236328125,94.376
FULL,0.8958,0.9297,2.0,26943,18,560,0.972184419631958,0.988231360912323,0.0,-90.5792236328125,107.772
FEAT,0.8958,0.9297,2.0,6133,0,560,0.972184419631958,0.988231360912323,0.0,0.0,24.532
FEAT_A8,0.8958,0.9297,2.0,3034,0,560,0.972184419631958,0.988231360912323,0.0,0.0,12.136
EKF,0.8958,0.9297,2.0,3416,0,560,0.972184419631958,0.988231360912323,0.0,0.23443564772605896,13.664
EKF_P,0.8958,0.9297,2.0,2339,0,560,0.972184419631958,0.988231360912323,0.0,0.23536157608032227,9.356
REFF,0.8143,0.77,2.0,1340,0,560,0.9877668619155884,0.9932082295417786,0.022318987175822258,0.0,5.36
TRIM,0.8143,0.77,2.0,3382,0,560,0.9877668619155884,0.9932082295417786,0.0,0.0,13.528
SOLVE,0.8143,0.77,2.0,22298,17,560,0.9877668619155884,0.9932082295417786,0.0,-62.90913009643555,89.192
FULL,0.8143,0.77,2.0,25633,17,560,0.9877668619155884,0.9932082295417786,0.0,-62.90913009643555,102.532
FEAT,0.8143,0.77,2.0,6133,0,560,0.9877668619155884,0.9932082295417786,0.0,0.0,24.532
FEAT_A8,0.8143,0.77,2.0,3034,0,560,0.9877668619155884,0.9932082295417786,0.0,0.0,12.136
EKF,0.8143,0.77,2.0,3416,0,560,0.9877668619155884,0.9932082295417786,0.0,0.24171803891658783,13.664
EKF_P,0.8143,0.77,2.0,2339,0,560,0.9877668619155884,0.9932082295417786,0.0,0.24264396727085114,9.356
REFF,0.7524,0.9338,10.0,1432,0,560,1.1393636465072632,1.0400470495224,0.018155500292778015,0.0,5.728
