cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
FEAT_A8,0.3241,0.8393,10.0,1483,0,560,0.991068422794342,0.994254469871521,0.0,0.0,5.932
EKF,0.3241,0.8393,10.0,1739,0,560,0.991068422794342,0.994254469871521,0.0,0.23393160104751587,6.956
EKF_P,0.3241,0.8393,10.0,1189,0,560,0.991068422794342,0.994254469871521,0.0,0.23485752940177917,4.756
REFF,0.7081,0.7702,10.0,809,0,560,1.0225428342819214,1.004111886024475,0.03293611854314804,0.0,3.236
TRIM,0.7081,0.7702,10.0,1627,0,560,1.0225428342819214,1.004111886024475,0.0,0.0,6.508
SOLVE,0.7081,0.7702,10.0,11413,17,560,1.0225428342819214,1.004111886024475,0.0,-37.39678192138672,45.652
FULL,0.7081,0.7702,10.0,13038,17,560,1.0225428342819214,1.004111886024475,0.0,-37.39678192138672,52.152
FEAT,0.7081,0.7702,10.0,3351,0,560,1.0225428342819214,1.004111886024475,0.0,0.0,13.404
FEAT_A8,0.7081,0.7702,10.0,1532,0,560,1.0225428342819214,1.004111886024475,0.0,0.0,6.128
EKF,0.7081,0.7702,10.0,1786,0,560,1.0225428342819214,1.004111886024475,0.0,0.22979508340358734,7.144
EKF_P,0.7081,0.7702,10.0,1229,0,560,1.0225428342819214,1.004111886024475,0.0,0.23072101175785065,4.916
REFF,0.5306,0.9599,10.0,787,0,560,0.9654304385185242,0.9860520362854004,0.013436137698590755,0.0,3.148
TRIM,0.5306,0.9599,10.0,1629,0,560,0.9654304385185242,0.9860520362854004,0.0,0.0,6.516
SOLVE,0.5306,0.9599,10.0,12077,18,560,0.9654304385185242,0.9860520362854004,0.0,-98.21626281738281,48.308
FULL,0.5306,0.9599,10.0,13679,18,560,0.9654304385185242,0.9860520362854004,0.0,-98.21626281738281,54.716
FEAT,0.5306,0.9599,10.0,3304,0,560,0.9654304385185242,0.9860520362854004,0.0,0.0,13.216
FEAT_A8,0.5306,0.9599,10.0,1485,0,560,0.9654304385185242,0.9860520362854004,0.0,0.0,5.94
EKF,0.5306,0.9599,10.0,1747,0,560,0.9654304385185242,0.9860520362854004,0.0,0.23211495578289032,6.988
EKF_P,0.5306,0.9599,10.0,1189,0,560,0.9654304385185242,0.9860520362854004,0.0,0.23304088413715363,4.756
REFF,0.8407,0.7793,2.0,757,0,560,1.0269804000854492,1.0054879188537598,0.024513253942131996,0.0,3.028
TRIM,0.8407,0.7793,2.0,1621,0,560,1.0269804000854492,1.0054879188537598,0.0,0.0,6.484
SOLVE,0.8407,0.7793,2.0,10839,17,560,1.0269804000854492,1.0054879188537598,0.0,-40.502559661865234,43.356
FULL,0.8407,0.7793,2.0,12433,17,560,1.0269804000854492,1.0054879188537598,0.0,-40.502559661865234,49.732
FEAT,0.8407,0.7793,2.0,3346,0,560,1.0269804000854492,1.0054879188537598,0.0,0.0,13.384
FEAT_A8,0.8407,0.7793,2.0,1519,0,560,1.0269804000854492,1.0054879188537598,0.0,0.0,6.076
EKF,0.8407,0.7793,2.0,1779,0,560,1.0269804000854492,1.0054879188537598,0.0,0.22386813163757324,7.116
EKF_P,0.8407,0.7793,2.0,1229,0,560,1.0269804000854492,1.0054879188537598,0.0,0.22479405999183655,4.916
REFF,0.8082,0.8958,2.0,757,0,560,1.0200086832046509,1.0033248662948608,0.015255991369485855,0.0,3.028
TRIM,0.8082,0.8958,2.0,1628,0,560,1.0200086832046509,1.0033248662948608,0.0,0.0,6.512
SOLVE,0.8082,0.8958,2.0,11007,18,560,1.0200086832046509,1.0033248662948608,0.0,-77.23485565185547,44.028
FULL,0.8082,0.8958,2.0,12583,18,560,1.0200086832046509,1.0033248662948608,0.0,-77.23485565185547,50.332
FEAT,0.8082,0.8958,2.0,3356,0,560,1.0200086832046509,1.0033248662948608,0.0,0.0,13.424
FEAT_A8,0.8082,0.8958,2.0,1507,0,560,1.0200086832046509,1.0033248662948608,0.0,0.0,6.028
EKF,0.8082,0.8958,2.0,1775,0,560,1.0200086832046509,1.0033248662948608,0.0,0.22481460869312286,7.1
EKF_P,0.8082,0.8958,2.0,1219,0,560,1.0200086832046509,1.0033248662948608,0.0,0.22574053704738617,4.876
REFF,0.3145,0.905,2.0,733,0,560,1.1583340167999268,1.045967698097229,0.015456246212124825,0.0,2.932
TRIM,0.3145,0.905,2.0,1657,0,560,1.1583340167999268,1.045967698097229,0.0,0.0,6.628
SOLVE,0.3145,0.905,2.0,10365,17,560,1.1583340167999268,1.045967698097229,0.0,-65.3104476928711,41.46
FULL,0.3145,0.905,2.0,11995,17,560,1.1583340167999268,1.045967698097229,0.0,-65.3104476928711,47.98
FEAT,0.3145,0.905,2.0,3309,0,560,1.1583340167999268,1.045967698097229,0.0,0.0,13.236
FEAT_A8,0.3145,0.905,2.0,1483,0,560,1.1583340167999268,1.045967698097229,0.0,0.0,5.932
