cmd,soc,soh,tau_s,cycles,iters,stack,kf,ks,r_eff,i_star,us
SOLVE,0.5526,0.9233,2.0,11849,18,640,1.0417331457138062,1.013317584991455,0.0,-113.54560852050781,47.396
FULL,0.5526,0.9233,2.0,13405,18,640,1.0417331457138062,1.013317584991455,0.0,-113.54560852050781,53.62
FEAT,0.5526,0.9233,2.0,3197,0,640,1.0417331457138062,1.013317584991455,0.0,0.0,12.788
EKF,0.5526,0.9233,2.0,1986,0,640,1.0417331457138062,1.013317584991455,0.0,0.24838535487651825,7.944
EKF_P,0.5526,0.9233,2.0,1304,0,640,1.0417331457138062,1.013317584991455,0.0,0.24931128323078156,5.216
REFF,0.8047,0.9114,2.0,710,0,640,1.1800925731658936,1.053165316581726,0.016132613644003868,0.0,2.84
TRIM,0.8047,0.9114,2.0,1670,0,640,1.1800925731658936,1.053165316581726,0.0,0.0,6.68
SOLVE,0.8047,0.9114,2.0,11213,17,640,1.1800925731658936,1.053165316581726,0.0,-64.10014343261719,44.852
FULL,0.8047,0.9114,2.0,12815,17,640,1.1800925731658936,1.053165316581726,0.0,-64.10014343261719,51.26
FEAT,0.8047,0.9114,2.0,3165,0,640,1.1800925731658936,1.053165316581726,0.0,0.0,12.66
EKF,0.8047,0.9114,2.0,1960,0,640,1.1800925731658936,1.053165316581726,0.0,0.2462398111820221,7.84
EKF_P,0.8047,0.9114,2.0,1304,0,640,1.1800925731658936,1.053165316581726,0.0,0.2471657395362854,5.216
REFF,0.7374,0.8813,2.0,732,0,640,0.99920254945755,0.9994171857833862,0.014347368851304054,0.0,2.928
TRIM,0.7374,0.8813,2.0,1621,0,640,0.99920254945755,0.9994171857833862,0.0,0.0,6.484
