fold,direction,cycle,SOH,temp_C,SOC,SOP_meas_W,SOP_A0_W,SOP_A8_W,k_f,k_s,limit_hit
BOOST,discharge,986,0.8946,25,0.600,98.74,98.34,97.12,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.600,91.18,93.65,92.04,1.1080,1.0308,current
BOOST,discharge,986,0.8946,25,0.500,95.58,95.46,94.24,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.500,88.18,90.77,89.14,1.1080,1.0308,current
BOOST,discharge,986,0.8946,25,0.400,92.78,92.48,91.21,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.400,84.61,87.06,85.35,1.1080,1.0308,current
BOOST,discharge,986,0.8946,25,0.300,89.40,84.91,83.47,1.1080,1.0308,current
BOOST,discharge,986,0.8946,10,0.300,78.28,72.27,67.97,1.1080,1.0308,voltage
BOOST,discharge,986,0.8946,25,0.200,79.72,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,10,0.200,42.00,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,25,0.150,58.84,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,10,0.150,26.22,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,25,0.100,35.35,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,10,0.100,16.10,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,25,0.050,21.95,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,10,0.050,9.82,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,25,0.020,14.47,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,10,0.020,6.03,,,1.1080,1.0308,out-of-hull
BOOST,discharge,986,0.8946,25,0.005,11.10,,,1.1080,1.0308,out-of-hull
BOOST,discharge,1100,0.8879,25,1.000,104.99,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,10,1.000,96.31,,,1.1303,1.0377,out-of-hull
BOOST,discharge,1100,0.8879,25,0.950,104.60,106.45,104.74,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.950,96.08,100.54,98.14,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,25,0.900,103.97,105.76,104.05,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.900,95.62,100.39,98.10,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,25,0.800,102.25,103.03,101.37,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.800,94.32,97.75,95.56,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,25,0.700,100.40,100.83,99.27,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.700,92.42,95.95,93.90,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,25,0.600,97.83,97.85,96.34,1.1303,1.0377,current
BOOST,discharge,1100,0.8879,10,0.600,89.53,93.02,91.02,1.1303,1.0377,current
