cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.708,3.7378,300.0,12,9.2437,0.001,0.2134,5.8299,8.528,0.826
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.699,3.6548,300.0,12,9.2104,0.001,0.2134,5.9958,8.7874,0.495
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.672,3.594,300.0,12,9.2533,0.001,0.2134,6.5233,9.3301,0.438
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.691,3.5104,300.0,12,9.5116,0.001,0.2134,5.9139,8.0319,0.787
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.8,4.1851,1454.7,12,10.3887,0.001,0.2134,4.6981,5.1242,0.939
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.843,4.1042,300.0,12,9.9002,0.001,0.2134,3.3501,5.7767,1.03
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.809,4.0821,300.0,12,9.7213,0.001,0.2134,4.2792,8.528,0.801
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.728,4.0312,300.0,12,9.8552,0.001,0.2134,5.9514,8.7874,1.016
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.765,3.9242,300.0,12,9.7597,0.001,0.2134,4.8261,8.2762,1.186
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.745,3.8305,300.0,12,9.3116,0.001,0.2134,5.3156,9.3301,0.984
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.71,3.7377,300.0,12,9.2441,0.001,0.2134,5.8319,8.528,0.844
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.7,3.6546,300.0,12,9.205,0.001,0.2134,6.0027,8.7874,0.562
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.674,3.5939,300.0,12,9.2514,0.001,0.2134,6.5317,9.3301,0.451
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.696,3.5101,300.0,12,9.5113,0.001,0.2134,5.9231,8.0319,0.754
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.803,4.1849,1454.7,12,10.3959,0.001,0.2134,4.6905,5.1242,0.867
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.846,4.1041,300.0,12,9.9019,0.001,0.2134,3.3496,5.7767,1.044
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.809,4.0822,300.0,12,9.731,0.001,0.2134,4.2799,8.528,0.79
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.73,4.0311,300.0,12,9.857,0.001,0.2134,5.9532,8.7874,1.032
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.767,3.9241,300.0,12,9.7599,0.001,0.2134,4.8247,8.2762,1.134
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.747,3.8306,300.0,12,9.3199,0.001,0.2134,5.3163,9.3301,0.92
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.712,3.7375,300.0,12,9.2429,0.001,0.2134,5.8336,8.528,0.843
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.703,3.6546,300.0,12,9.2085,0.001,0.2134,6.0097,8.7874,0.54
RPC_CC,1,1.0,2.9103,0.3181,discharge,3,-29.677,3.5938,300.0,12,9.2654,0.001,0.2134,6.6483,9.6139,0.456
RPC_CC,1,1.0,2.9103,0.221,discharge,3,-29.701,3.5096,300.0,12,9.5099,0.001,0.2134,5.9222,8.0319,0.757
RPC_CC,1,1.0,2.9103,0.9973,discharge,3,-29.805,4.185,1456.4,12,10.4042,0.001,0.2134,4.6954,5.1242,0.941
RPC_CC,1,1.0,2.9103,0.9488,discharge,3,-29.847,4.1042,300.0,12,9.9097,0.001,0.2134,3.3524,5.7767,1.027
RPC_CC,1,1.0,2.9103,0.9003,discharge,3,-29.812,4.0822,300.0,12,9.7327,0.001,0.2134,4.2807,8.528,0.776
RPC_CC,1,1.0,2.9103,0.8033,discharge,3,-29.732,4.031,300.0,12,9.8554,0.001,0.2134,5.9578,8.7874,0.995
RPC_CC,1,1.0,2.9103,0.7062,discharge,3,-29.768,3.9241,300.0,12,9.7618,0.001,0.2134,4.8255,8.2762,1.183
RPC_CC,1,1.0,2.9103,0.6092,discharge,3,-29.748,3.8305,300.0,12,9.3048,0.001,0.2134,5.2457,9.0547,0.935
RPC_CC,1,1.0,2.9103,0.5121,discharge,3,-29.713,3.7373,300.0,12,9.2403,0.001,0.2134,5.8347,8.528,0.857
RPC_CC,1,1.0,2.9103,0.4151,discharge,3,-29.704,3.6545,300.0,12,9.207,0.001,0.2134,6.0106,8.7874,0.536
