cell,cycle,SOH,CAP_Ah,SOC,direction,rate_rank,I_A,V_pre_V,rest_before_s,n_points,R0_mOhm,R1_mOhm,tau1_s,R2_mOhm,tau2_s,fit_rmse_mV
CC,5,0.99952,2.97197,0.0584,charge,0,1.483,3.3536,70.5,101,11.0479,1.0607,0.7374,16.9711,13.931,0.1022
CC,5,0.99952,2.97197,0.0585,charge,1,5.943,3.3637,160.4,101,10.563,0.8911,0.5295,7.8749,7.2888,0.1438
CC,5,0.99952,2.97197,0.0585,charge,2,17.83,3.3671,233.3,100,10.0629,0.915,0.7109,4.9599,7.9742,0.3026
CC,5,0.99952,2.97197,0.0587,charge,3,29.714,3.368,243.0,101,9.844,0.8089,0.7433,5.061,11.0813,0.3935
CC,40,0.99362,2.95442,1.0,discharge,0,-2.957,4.1811,99999.0,100,9.1235,1.0015,0.5592,11.6992,11.54,0.166
CC,40,0.99362,2.95442,1.0,charge,0,1.284,4.1902,70.5,91,1.3291,2.7174,0.05,3.7142,0.7719,0.1764
CC,40,0.99362,2.95442,0.9999,discharge,1,-11.818,4.1808,633.3,101,9.0826,0.9953,0.593,8.1584,8.4933,0.2359
CC,40,0.99362,2.95442,0.9999,charge,1,1.27,4.1846,159.5,72,10.3682,1.8909,0.05,0.01,2999.9022,0.19
CC,40,0.99362,2.95442,0.9997,discharge,2,-23.642,4.1805,634.6,101,8.9982,0.9059,0.4933,5.7283,5.9438,0.38
CC,40,0.99362,2.95442,0.9994,charge,2,1.274,4.1843,274.1,76,12.4512,0.01,0.05,0.01,2999.0816,0.1541
CC,40,0.99362,2.95442,0.9991,discharge,3,-33.983,4.1792,634.5,101,8.9644,0.8557,0.4796,4.4319,4.7359,0.5183
CC,40,0.99362,2.95442,0.999,charge,3,1.274,4.1835,380.9,79,13.0755,0.01,0.05,0.01,2999.9615,0.1946
CC,40,0.99362,2.95442,0.9497,discharge,0,-2.957,4.1036,4787.6,101,9.0523,0.8016,0.6377,6.5556,9.1629,0.1454
CC,40,0.99362,2.95442,0.9498,charge,0,1.476,4.1048,70.5,101,8.7638,0.9492,0.5524,6.3951,9.5718,0.1408
CC,40,0.99362,2.95442,0.9497,discharge,1,-11.819,4.1037,635.4,101,8.9696,0.827,0.5568,4.8868,6.9023,0.1896
CC,40,0.99362,2.95442,0.9498,charge,1,5.91,4.1063,160.1,101,6.1187,3.2938,0.1295,5.8268,7.9681,0.2808
CC,40,0.99362,2.95442,0.9496,discharge,2,-23.642,4.1037,680.6,100,8.9056,0.9143,0.5952,3.8188,6.7478,0.4004
CC,40,0.99362,2.95442,0.9498,charge,2,7.897,4.1066,279.8,101,6.2525,5.6178,0.0726,0.01,2999.6459,0.5576
CC,40,0.99362,2.95442,0.9494,discharge,3,-33.981,4.104,699.8,101,8.8545,0.8673,0.576,3.5971,7.2659,0.3984
CC,40,0.99362,2.95442,0.9498,charge,3,7.913,4.1083,384.9,100,8.7315,2.9034,0.05,0.01,3000.0,0.6934
CC,40,0.99362,2.95442,0.9005,discharge,0,-2.959,4.0828,4852.9,101,8.8195,0.8451,0.3719,5.8198,7.9902,0.1548
