T_C,SOC,Ah,Direction,CRate,OCV_V,R_mOhm
10.0,0.1,2.7,discharge,2.0,3.37871,57.666666666666686
10.0,1.0,0,discharge,6.0,4.18832,25.853333333333335
10.0,0.95,0.15000000000000013,discharge,6.0,4.09106,21.3211111111111
10.0,0.9,0.29999999999999993,discharge,6.0,4.07201,20.496666666666655
10.0,0.8,0.5999999999999999,discharge,6.0,4.01605,20.97444444444443
10.0,0.7,0.9000000000000001,discharge,6.0,3.91356,19.95333333333334
10.0,0.6,1.2000000000000002,discharge,6.0,3.82254,19.428888888888892
10.0,0.5,1.5,discharge,6.0,3.71129,19.092222222222215
10.0,0.4,1.7999999999999998,discharge,6.0,3.63425,19.316111111111113
10.0,0.3,2.0999999999999996,discharge,6.0,3.57576,20.393333333333313
10.0,0.2,2.4000000000000004,discharge,6.0,3.48035,24.391666666666666
10.0,0.15,2.55,discharge,6.0,3.42001,38.606666666666676
10.0,1.0,0,discharge,12.0,4.18832,20.853611111111107
10.0,0.95,0.15000000000000013,discharge,12.0,4.09106,18.671666666666656
10.0,0.9,0.29999999999999993,discharge,12.0,4.07201,18.540555555555546
10.0,0.8,0.5999999999999999,discharge,12.0,4.01605,18.849722222222216
10.0,0.7,0.9000000000000001,discharge,12.0,3.91356,18.05361111111111
10.0,0.6,1.2000000000000002,discharge,12.0,3.82254,17.983333333333338
10.0,0.5,1.5,discharge,12.0,3.71129,18.01611111111111
10.0,0.4,1.7999999999999998,discharge,12.0,3.63425,18.315555555555566
10.0,0.3,2.0999999999999996,discharge,12.0,3.57576,19.64055555555555
10.0,0.95,0.15000000000000013,charge,0.5,4.09106,26.633333333333436
10.0,0.9,0.29999999999999993,charge,0.5,4.07201,23.826666666667034
10.0,0.8,0.5999999999999999,charge,0.5,4.01605,24.046666666666994
10.0,0.7,0.9000000000000001,charge,0.5,3.91356,23.03999999999995
10.0,0.6,1.2000000000000002,charge,0.5,3.82254,22.70000000000009
10.0,0.5,1.5,charge,0.5,3.71129,20.559999999999985
10.0,0.4,1.7999999999999998,charge,0.5,3.63425,20.679999999999882
10.0,0.3,2.0999999999999996,charge,0.5,3.57576,21.24
10.0,0.2,2.4000000000000004,charge,0.5,3.48035,23.25999999999991
10.0,0.15,2.55,charge,0.5,3.42001,25.166666666666632
10.0,0.1,2.7,charge,0.5,3.37871,33.04000000000003
10.0,0.95,0.15000000000000013,charge,1.0,4.09106,26.463333333333356
10.0,0.9,0.29999999999999993,charge,1.0,4.07201,23.036666666666743
10.0,0.8,0.5999999999999999,charge,1.0,4.01605,23.036666666666743
10.0,0.7,0.9000000000000001,charge,1.0,3.91356,21.803333333333324
10.0,0.6,1.2000000000000002,charge,1.0,3.82254,23.316666666666652
10.0,0.5,1.5,charge,1.0,3.71129,20.393333333333413
10.0,0.4,1.7999999999999998,charge,1.0,3.63425,20.509999999999952
10.0,0.3,2.0999999999999996,charge,1.0,3.57576,21.183333333333405
10.0,0.2,2.4000000000000004,charge,1.0,3.48035,23.14999999999993
10.0,0.15,2.55,charge,1.0,3.42001,24.610000000000024
10.0,0.1,2.7,charge,1.0,3.37871,30.623333333333374
10.0,0.9,0.29999999999999993,charge,1.5,4.07201,22.775555555555645
10.0,0.8,0.5999999999999999,charge,1.5,4.01605,22.324444444444442
10.0,0.7,0.9000000000000001,charge,1.5,3.91356,21.12666666666671
10.0,0.6,1.2000000000000002,charge,1.5,3.82254,23.11111111111113
10.0,0.5,1.5,charge,1.5,3.71129,20.4888888888889
10.0,0.4,1.7999999999999998,charge,1.5,3.63425,20.453333333333312
10.0,0.3,2.0999999999999996,charge,1.5,3.57576,21.426666666666705
10.0,0.2,2.4000000000000004,charge,1.5,3.48035,23.07555555555554
10.0,0.15,2.55,charge,1.5,3.42001,24.27333333333337
10.0,0.1,2.7,charge,1.5,3.37871,27.868888888888893
10.0,0.8,0.5999999999999999,charge,2.0,4.01605,21.913333333333302
10.0,0.7,0.9000000000000001,charge,2.0,3.91356,20.621666666666613
10.0,0.6,1.2000000000000002,charge,2.0,3.82254,22.586666666666684
10.0,0.5,1.5,charge,2.0,3.71129,20.620000000000008
10.0,0.4,1.7999999999999998,charge,2.0,3.63425,20.47999999999998
10.0,0.3,2.0999999999999996,charge,2.0,3.57576,21.46333333333339
10.0,0.2,2.4000000000000004,charge,2.0,3.48035,22.868333333333343
10.0,0.15,2.55,charge,2.0,3.42001,23.148333333333326
10.0,0.1,2.7,charge,2.0,3.37871,26.323333333333327
25.0,1.0,0,discharge,1.0,4.18647,20.669999999999966
25.0,0.95,0.15000000000000013,discharge,1.0,4.09376,15.556666666666588
25.0,0.9,0.29999999999999993,discharge,1.0,4.07454,14.936666666666673
25.0,0.8,0.5999999999999999,discharge,1.0,4.01875,16.79000000000001
25.0,0.7,0.9000000000000001,discharge,1.0,3.91474,16.62000000000008
25.0,0.6,1.2000000000000002,discharge,1.0,3.83383,17.459999999999955
25.0,0.5,1.5,discharge,1.0,3.7155,14.313333333333398
25.0,0.4,1.7999999999999998,discharge,1.0,3.6388,13.9766666666666
25.0,0.3,2.0999999999999996,discharge,1.0,3.57862,14.309999999999897
25.0,0.2,2.4000000000000004,discharge,1.0,3.48625,15.323333333333357
25.0,0.15,2.55,discharge,1.0,3.42102,16.053333333333253
25.0,0.1,2.7,discharge,1.0,3.38326,21.053333333333295
25.0,1.0,0,discharge,2.0,4.18647,19.801666666666645
25.0,0.95,0.15000000000000013,discharge,2.0,4.09376,15.249999999999986
25.0,0.9,0.29999999999999993,discharge,2.0,4.07454,14.771666666666627
25.0,0.8,0.5999999999999999,discharge,2.0,4.01875,16.569999999999975
25.0,0.7,0.9000000000000001,discharge,2.0,3.91474,16.288333333333387
25.0,0.6,1.2000000000000002,discharge,2.0,3.83383,16.48500000000001
25.0,0.5,1.5,discharge,2.0,3.7155,14.180000000000007
25.0,0.4,1.7999999999999998,discharge,2.0,3.6388,13.926666666666643
25.0,0.3,2.0999999999999996,discharge,2.0,3.57862,14.291666666666666
25.0,0.2,2.4000000000000004,discharge,2.0,3.48625,15.161666666666667
25.0,0.15,2.55,discharge,2.0,3.42102,15.751666666666681
25.0,0.1,2.7,discharge,2.0,3.38326,22.298333333333307
25.0,1.0,0,discharge,6.0,4.18647,17.407222222222227
25.0,0.95,0.15000000000000013,discharge,6.0,4.09376,14.21388888888887
25.0,0.9,0.29999999999999993,discharge,6.0,4.07454,13.92333333333331
25.0,0.8,0.5999999999999999,discharge,6.0,4.01875,15.17833333333332
25.0,0.7,0.9000000000000001,discharge,6.0,3.91474,14.428333333333338
25.0,0.6,1.2000000000000002,discharge,6.0,3.83383,14.447222222222203
25.0,0.5,1.5,discharge,6.0,3.7155,13.688333333333325
25.0,0.4,1.7999999999999998,discharge,6.0,3.6388,13.669444444444437
25.0,0.3,2.0999999999999996,discharge,6.0,3.57862,14.081111111111111
25.0,0.2,2.4000000000000004,discharge,6.0,3.48625,15.176666666666664
25.0,0.15,2.55,discharge,6.0,3.42102,17.02166666666666
25.0,0.1,2.7,discharge,6.0,3.38326,40.26388888888888
25.0,1.0,0,discharge,12.0,4.18647,15.225833333333334
25.0,0.95,0.15000000000000013,discharge,12.0,4.09376,13.394999999999984
25.0,0.9,0.29999999999999993,discharge,12.0,4.07454,13.404166666666661
25.0,0.8,0.5999999999999999,discharge,12.0,4.01875,14.162777777777771
25.0,0.7,0.9000000000000001,discharge,12.0,3.91474,13.48361111111111
25.0,0.6,1.2000000000000002,discharge,12.0,3.83383,13.619444444444444
25.0,0.5,1.5,discharge,12.0,3.7155,13.315000000000003
25.0,0.4,1.7999999999999998,discharge,12.0,3.6388,13.356944444444439
25.0,0.3,2.0999999999999996,discharge,12.0,3.57862,13.890555555555554
25.0,0.2,2.4000000000000004,discharge,12.0,3.48625,15.65111111111111
25.0,0.15,2.55,discharge,12.0,3.42102,23.376944444444444
25.0,0.95,0.15000000000000013,charge,0.5,4.09376,16.066666666667118
25.0,0.9,0.29999999999999993,charge,0.5,4.07454,14.946666666666886
25.0,0.8,0.5999999999999999,charge,0.5,4.01875,16.519999999999868
