cell,cycle,SOH,SOC,OCV_V,V_dis_V,V_chg_V,hyst_mV
CC,295,0.96085,0.28,3.56525,3.54608,3.58442,38.33
CC,295,0.96085,0.29,3.5736,3.55518,3.59202,36.84
CC,295,0.96085,0.3,3.58159,3.56366,3.59952,35.86
CC,295,0.96085,0.31,3.58896,3.5716,3.60632,34.72
CC,295,0.96085,0.32,3.59635,3.57948,3.61321,33.73
CC,295,0.96085,0.33,3.60323,3.58705,3.61942,32.37
CC,295,0.96085,0.34,3.61,3.59418,3.62582,31.63
CC,295,0.96085,0.35,3.61648,3.60115,3.63182,30.67
CC,295,0.96085,0.36,3.62284,3.60767,3.63802,30.34
CC,295,0.96085,0.37,3.62925,3.61418,3.64432,30.14
CC,295,0.96085,0.38,3.63548,3.62064,3.65032,29.68
CC,295,0.96085,0.39,3.64188,3.62685,3.65692,30.07
CC,295,0.96085,0.4,3.64843,3.63345,3.66342,29.97
CC,295,0.96085,0.41,3.6549,3.63966,3.67013,30.46
CC,295,0.96085,0.42,3.66199,3.64666,3.67732,30.66
CC,295,0.96085,0.43,3.66928,3.65393,3.68462,30.69
CC,295,0.96085,0.44,3.67684,3.66115,3.69253,31.38
CC,295,0.96085,0.45,3.68489,3.66896,3.70082,31.86
CC,295,0.96085,0.46,3.69319,3.67706,3.70933,32.27
CC,295,0.96085,0.47,3.70215,3.68567,3.71864,32.96
CC,295,0.96085,0.48,3.71154,3.69485,3.72823,33.38
CC,295,0.96085,0.49,3.72101,3.70408,3.73793,33.85
CC,295,0.96085,0.5,3.7311,3.71396,3.74823,34.27
CC,295,0.96085,0.51,3.74104,3.72386,3.75823,34.38
CC,295,0.96085,0.52,3.751,3.73366,3.76834,34.68
CC,295,0.96085,0.53,3.76119,3.74376,3.77862,34.86
CC,295,0.96085,0.54,3.7709,3.75336,3.78844,35.07
CC,295,0.96085,0.55,3.7808,3.76308,3.79853,35.45
CC,295,0.96085,0.56,3.79065,3.77306,3.80824,35.18
CC,295,0.96085,0.57,3.80069,3.78286,3.81852,35.66
CC,295,0.96085,0.58,3.81096,3.79318,3.82874,35.56
CC,295,0.96085,0.59,3.82195,3.80426,3.83964,35.39
CC,295,0.96085,0.6,3.83346,3.8158,3.85113,35.34
CC,295,0.96085,0.61,3.84586,3.82888,3.86283,33.95
CC,295,0.96085,0.62,3.85836,3.84228,3.87444,32.16
CC,295,0.96085,0.63,3.87034,3.85525,3.88544,30.19
CC,295,0.96085,0.64,3.88053,3.86653,3.89452,28.0
CC,295,0.96085,0.65,3.88903,3.87583,3.90223,26.4
CC,295,0.96085,0.66,3.89653,3.88393,3.90912,25.19
CC,295,0.96085,0.67,3.90343,3.89143,3.91544,24.01
CC,295,0.96085,0.68,3.90995,3.89814,3.92176,23.62
CC,295,0.96085,0.69,3.91678,3.90513,3.92843,23.3
CC,295,0.96085,0.7,3.92365,3.91193,3.93537,23.44
CC,295,0.96085,0.71,3.93144,3.91953,3.94335,23.82
CC,295,0.96085,0.72,3.9397,3.92743,3.95196,24.53
CC,295,0.96085,0.73,3.94915,3.93644,3.96186,25.42
CC,295,0.96085,0.74,3.95925,3.94623,3.97228,26.05
CC,295,0.96085,0.75,3.97036,3.95674,3.98398,27.24
CC,295,0.96085,0.76,3.98206,3.96804,3.99608,28.04
CC,295,0.96085,0.77,3.99457,3.98024,4.0089,28.66
CC,295,0.96085,0.78,4.00726,3.99264,4.02187,29.23
CC,295,0.96085,0.79,4.0197,4.00524,4.03417,28.94
CC,295,0.96085,0.8,4.03175,4.01723,4.04626,29.03
CC,295,0.96085,0.81,4.04259,4.02812,4.05706,28.94
CC,295,0.96085,0.82,4.05279,4.03852,4.06706,28.54
CC,295,0.96085,0.83,4.06148,4.04792,4.07505,27.13
CC,295,0.96085,0.84,4.06847,4.05622,4.08073,24.52
CC,295,0.96085,0.85,4.07355,4.06291,4.0842,21.29
CC,295,0.96085,0.86,4.07681,4.06701,4.08662,19.62
CC,295,0.96085,0.87,4.07955,4.07,4.0891,19.1
CC,295,0.96085,0.88,4.08166,4.072,4.09132,19.32
CC,295,0.96085,0.89,4.08416,4.0742,4.09412,19.92
CC,295,0.96085,0.9,4.08681,4.0767,4.09692,20.22
CC,295,0.96085,0.91,4.08976,4.0791,4.10042,21.32
CC,295,0.96085,0.92,4.09321,4.08211,4.10432,22.22
CC,295,0.96085,0.93,4.09767,4.0859,4.10943,23.53
CC,295,0.96085,0.94,4.10297,4.0905,4.11544,24.94
CC,295,0.96085,0.95,4.10964,4.0962,4.12307,26.87
CC,295,0.96085,0.96,4.11869,4.10411,4.13328,29.17
CC,295,0.96085,0.97,4.13034,4.1145,4.14618,31.68
CC,295,0.96085,0.98,4.14587,4.12911,4.16263,33.52
CC,295,0.96085,0.99,4.16658,4.1493,4.18386,34.56
CC,370,0.9527,0.04,2.93992,2.86056,3.01928,158.72
CC,370,0.9527,0.05,3.09578,3.03906,3.1525,113.44
CC,370,0.9527,0.06,3.19418,3.1474,3.24096,93.57
CC,370,0.9527,0.07,3.26613,3.22498,3.30728,82.3
CC,370,0.9527,0.08,3.31912,3.28034,3.35789,77.55
CC,370,0.9527,0.09,3.35253,3.31929,3.38577,66.48
CC,370,0.9527,0.1,3.37267,3.34652,3.39881,52.28
CC,370,0.9527,0.11,3.38706,3.3654,3.40872,43.32
CC,370,0.9527,0.12,3.39802,3.3789,3.41715,38.25
CC,370,0.9527,0.13,3.40747,3.3899,3.42505,35.15
CC,370,0.9527,0.14,3.41589,3.399,3.43278,33.78
