cell,cycle,SOC,direction,I_A,tau_s,tau_actual_s,T_C,rest_before_s,V_pre_V,V_tau_V,R_mOhm,CAP_Ah,SOH
RPC_CC,1,0.7062,discharge,-29.761,2.0,2.0,25.96,300.0,3.9246,3.6016,10.8531,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.761,10.0,9.0,25.96,300.0,3.9246,3.5383,12.9801,2.9103,1.0
RPC_CC,1,0.6091,discharge,-29.742,2.0,2.0,25.95,300.0,3.8308,3.5222,10.3761,2.9103,1.0
RPC_CC,1,0.6091,discharge,-29.742,10.0,9.01,25.95,300.0,3.8308,3.4558,12.6086,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.703,2.0,2.0,25.83,300.1,3.7383,3.4263,10.504,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.703,10.0,9.0,25.83,300.1,3.7383,3.3507,13.0492,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.694,2.0,2.0,25.76,300.0,3.6554,3.3446,10.4669,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.694,10.0,9.0,25.76,300.0,3.6554,3.2674,13.0668,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.666,2.0,2.0,25.82,300.0,3.5945,3.282,10.5341,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.666,10.0,9.0,25.82,300.0,3.5945,3.2003,13.2882,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.677,2.0,2.0,26.0,300.0,3.5115,3.1898,10.8402,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.677,10.0,9.0,26.0,300.0,3.5115,3.1111,13.4922,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.555,2.0,2.0,26.11,300.0,3.4475,3.1269,10.8476,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.555,10.0,9.0,26.11,300.0,3.4475,3.0375,13.8724,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.5,2.0,2.0,26.17,300.0,3.4118,3.0655,12.1509,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.5,10.0,9.0,26.17,300.0,3.4118,2.8411,20.0246,2.9103,1.0
RPC_CC,1,0.0771,discharge,-11.822,2.0,2.0,26.32,300.0,3.3572,3.1795,15.0313,2.9103,1.0
RPC_CC,1,0.0771,discharge,-11.822,10.0,9.0,26.32,300.0,3.3572,3.0456,26.3576,2.9103,1.0
RPC_CC,1,0.0484,discharge,-6.409,2.0,2.0,26.09,300.1,3.1861,3.0586,19.895,2.9103,1.0
RPC_CC,1,0.0484,discharge,-6.409,10.0,9.0,26.09,300.1,3.1861,2.9489,37.0125,2.9103,1.0
RPC_CC,1,0.0342,discharge,-3.244,2.0,2.0,25.9,300.0,3.0291,2.9517,23.8616,2.9103,1.0
RPC_CC,1,0.0342,discharge,-3.244,10.0,9.0,25.9,300.0,3.0291,2.8842,44.6712,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.793,2.0,2.0,25.55,1451.0,4.1852,3.8302,11.9158,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.793,10.0,9.0,25.55,1451.0,4.1852,3.7599,14.2754,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.84,2.0,2.0,25.89,300.0,4.1044,3.7787,10.9149,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.84,10.0,9.0,25.89,300.0,4.1044,3.7296,12.5603,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.806,2.0,2.0,26.0,300.0,4.0824,3.7648,10.6558,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.806,10.0,9.0,26.0,300.0,4.0824,3.7092,12.5212,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.722,2.0,2.0,25.92,300.0,4.0316,3.7014,11.1094,2.9103,1.0
RPC_CC,1,0.8033,discharge,-29.722,10.0,9.0,25.92,300.0,4.0316,3.625,13.6799,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.764,2.0,2.0,25.96,300.0,3.9244,3.6014,10.8522,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.764,10.0,9.0,25.96,300.0,3.9244,3.5381,12.979,2.9103,1.0
RPC_CC,1,0.6091,discharge,-29.743,2.0,2.0,26.0,300.0,3.8309,3.522,10.3856,2.9103,1.0
RPC_CC,1,0.6091,discharge,-29.743,10.0,9.01,26.0,300.0,3.8309,3.4555,12.6215,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.705,2.0,2.0,25.84,300.0,3.7382,3.4263,10.4999,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.705,10.0,9.0,25.84,300.0,3.7382,3.3503,13.0584,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.696,2.0,2.0,25.8,300.0,3.6553,3.3446,10.4627,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.696,10.0,9.0,25.8,300.0,3.6553,3.2673,13.0657,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.667,2.0,2.0,25.85,300.0,3.5944,3.2818,10.5368,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.667,10.0,9.0,25.85,300.0,3.5944,3.1999,13.2974,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.681,2.0,2.0,26.03,300.0,3.511,3.1893,10.8386,2.9103,1.0
RPC_CC,1,0.221,discharge,-29.681,10.0,9.0,26.03,300.0,3.511,3.1104,13.4968,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.564,2.0,2.0,26.15,300.0,3.4469,3.1261,10.851,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.564,10.0,9.0,26.15,300.0,3.4469,3.036,13.8987,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.776,2.0,2.0,26.17,300.0,3.4115,3.0612,12.1731,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.776,10.0,9.0,26.17,300.0,3.4115,2.8277,20.2874,2.9103,1.0
