cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,150,0.97312,2.91508,0.7083,4,10.0,charge,3.9251,4.2,4,-24.957,23.836,24.929,1.093,0.955,0.98825
BOOST,150,0.97312,2.91508,0.6111,5,2.0,charge,3.8514,4.2,4,-29.146,34.867,35.356,0.489,1.196,0.99939
BOOST,150,0.97312,2.91508,0.6111,5,10.0,charge,3.8514,4.2,4,-29.146,28.792,29.128,0.335,0.988,0.99859
BOOST,150,0.97312,2.91508,0.514,6,2.0,charge,3.7334,4.2,4,-29.146,46.172,46.687,0.515,1.584,0.99984
BOOST,150,0.97312,2.91508,0.514,6,10.0,charge,3.7334,4.2,4,-29.146,36.692,37.011,0.319,1.259,0.99981
BOOST,150,0.97312,2.91508,0.4168,7,2.0,charge,3.6517,4.2,4,-29.146,54.785,55.71,0.925,1.88,0.99978
BOOST,150,0.97312,2.91508,0.4168,7,10.0,charge,3.6517,4.2,4,-29.146,44.788,45.194,0.405,1.537,0.99978
BOOST,150,0.97312,2.91508,0.3196,8,2.0,charge,3.5926,4.2,4,-29.146,60.303,61.491,1.189,2.069,0.99976
BOOST,150,0.97312,2.91508,0.3196,8,10.0,charge,3.5926,4.2,4,-29.146,49.853,50.874,1.021,1.71,0.9995
BOOST,150,0.97312,2.91508,0.2225,9,2.0,charge,3.5078,4.2,4,-29.147,64.843,65.774,0.931,2.225,0.99973
BOOST,150,0.97312,2.91508,0.2225,9,10.0,charge,3.5078,4.2,4,-29.147,52.131,53.824,1.693,1.789,0.99922
BOOST,150,0.97312,2.91508,0.1739,10,2.0,charge,3.4508,4.2,4,-29.148,69.604,71.741,2.137,2.388,0.99943
BOOST,150,0.97312,2.91508,0.1739,10,10.0,charge,3.4508,4.2,4,-29.148,54.611,56.467,1.856,1.874,0.99919
BOOST,150,0.97312,2.91508,0.1253,11,2.0,charge,3.4079,4.2,4,-29.146,73.555,76.715,3.159,2.524,0.9988
BOOST,150,0.97312,2.91508,0.1253,11,10.0,charge,3.4079,4.2,4,-29.146,58.925,60.309,1.385,2.022,0.99945
BOOST,150,0.97312,2.91508,0.0767,12,2.0,charge,3.3557,4.2,4,-29.147,72.852,79.22,6.368,2.499,0.99552
BOOST,150,0.97312,2.91508,0.0767,12,10.0,charge,3.3557,4.2,4,-29.147,61.153,64.673,3.52,2.098,0.99549
BOOST,187,0.96527,2.89156,0.9516,1,2.0,charge,4.1033,4.2,4,-7.28,7.382,7.005,0.377,1.014,0.98886
BOOST,187,0.96527,2.89156,0.9516,1,10.0,charge,4.1033,4.2,4,-7.28,7.009,7.197,0.188,0.963,0.97831
BOOST,187,0.96527,2.89156,0.9035,2,2.0,charge,4.0836,4.2,4,-9.713,9.727,,,1.001,0.99831
BOOST,187,0.96527,2.89156,0.9035,2,10.0,charge,4.0836,4.2,4,-9.713,9.548,,,0.983,0.99268
BOOST,187,0.96527,2.89156,0.8071,3,2.0,charge,4.0304,4.2,4,-14.438,14.375,14.159,0.216,0.996,0.99969
BOOST,187,0.96527,2.89156,0.8071,3,10.0,charge,4.0304,4.2,4,-14.438,14.254,14.624,0.37,0.987,0.99437
BOOST,187,0.96527,2.89156,0.7108,4,2.0,charge,3.9259,4.2,4,-24.397,24.933,24.33,0.603,1.022,0.99607
BOOST,187,0.96527,2.89156,0.7108,4,10.0,charge,3.9259,4.2,4,-24.397,23.276,24.369,1.092,0.954,0.98804
BOOST,187,0.96527,2.89156,0.6145,5,2.0,charge,3.8517,4.2,4,-28.902,34.163,34.676,0.513,1.182,0.99931
BOOST,187,0.96527,2.89156,0.6145,5,10.0,charge,3.8517,4.2,4,-28.902,28.426,28.865,0.439,0.984,0.99779
BOOST,187,0.96527,2.89156,0.5181,6,2.0,charge,3.7366,4.2,4,-28.902,45.438,46.499,1.061,1.572,0.99956
BOOST,187,0.96527,2.89156,0.5181,6,10.0,charge,3.7366,4.2,4,-28.902,36.082,36.621,0.539,1.248,0.99959
BOOST,187,0.96527,2.89156,0.4217,7,2.0,charge,3.6547,4.2,4,-28.902,55.092,56.295,1.203,1.906,0.99969
BOOST,187,0.96527,2.89156,0.4217,7,10.0,charge,3.6547,4.2,4,-28.902,44.755,45.166,0.411,1.549,0.99978
BOOST,187,0.96527,2.89156,0.3254,8,2.0,charge,3.5944,4.2,4,-28.902,59.406,60.52,1.113,2.055,0.99976
BOOST,187,0.96527,2.89156,0.3254,8,10.0,charge,3.5944,4.2,4,-28.902,48.786,49.724,0.938,1.688,0.99956
BOOST,187,0.96527,2.89156,0.2291,9,2.0,charge,3.5098,4.2,4,-28.901,63.867,65.302,1.435,2.21,0.9996
BOOST,187,0.96527,2.89156,0.2291,9,10.0,charge,3.5098,4.2,4,-28.901,51.367,53.373,2.007,1.777,0.99891
