protocol,cycle,SOH,CAP_Ah,SOC,soc_group,direction,rate_rank,I_A,CRate_rated,tau_s,tau_actual_s,V_pre_V,V_tau_V,R_mOhm,file
CC,5,0.99952,2.97197,0.7024,4,charge,0,1.486,0.495,10.0,9.9,3.9247,3.946,14.3347,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7023,4,discharge,1,-11.889,3.963,2.0,2.0,3.9224,3.7856,11.5064,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7023,4,discharge,1,-11.889,3.963,10.0,9.9,3.9224,3.7457,14.8625,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7025,4,charge,1,5.942,1.981,2.0,2.0,3.9279,3.99,10.4514,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7025,4,charge,1,5.942,1.981,10.0,9.9,3.9279,4.0038,12.7739,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7022,4,discharge,2,-23.774,7.925,2.0,2.0,3.9226,3.6613,10.991,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7022,4,discharge,2,-23.774,7.925,10.0,9.9,3.9226,3.6034,13.4264,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7025,4,charge,2,17.833,5.944,2.0,2.0,3.9289,4.1075,10.0151,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7025,4,charge,2,17.833,5.944,10.0,9.9,3.9289,4.15,12.3984,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7021,4,discharge,3,-34.174,11.391,2.0,2.0,3.9231,3.5603,10.6163,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7021,4,discharge,3,-34.174,11.391,10.0,9.9,3.9231,3.4838,12.8548,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7025,4,charge,3,24.939,8.313,2.0,2.0,3.9295,4.201,10.8866,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.7025,4,charge,3,24.939,8.313,10.0,9.9,3.9295,4.2004,10.8625,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6033,5,discharge,0,-2.973,0.991,2.0,1.9,3.8521,3.8174,11.6709,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6033,5,discharge,0,-2.973,0.991,10.0,9.9,3.8521,3.8006,17.3214,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6034,5,charge,0,1.485,0.495,2.0,2.0,3.8538,3.8705,11.2428,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6034,5,charge,0,1.485,0.495,10.0,9.9,3.8538,3.8762,15.0801,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6032,5,discharge,1,-11.89,3.963,2.0,2.0,3.8523,3.7153,11.5223,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6032,5,discharge,1,-11.89,3.963,10.0,9.9,3.8523,3.6743,14.9706,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6034,5,charge,1,5.944,1.981,2.0,2.0,3.8567,3.9211,10.8348,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6034,5,charge,1,5.944,1.981,10.0,9.9,3.8567,3.9361,13.3585,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6032,5,discharge,2,-23.775,7.925,2.0,1.9,3.8527,3.5895,11.0705,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6032,5,discharge,2,-23.775,7.925,10.0,9.9,3.8527,3.5257,13.7539,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6035,5,charge,2,17.829,5.943,2.0,2.0,3.8581,4.041,10.2586,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6035,5,charge,2,17.829,5.943,10.0,9.9,3.8581,4.0806,12.4797,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6031,5,discharge,3,-34.173,11.391,2.0,1.9,3.8534,3.4862,10.7453,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6031,5,discharge,3,-34.173,11.391,10.0,9.9,3.8534,3.4012,13.2327,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6035,5,charge,3,29.716,9.905,2.0,2.0,3.8601,4.1545,9.9071,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.6035,5,charge,3,29.716,9.905,10.0,9.9,3.8601,4.2003,11.4484,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
CC,5,0.99952,2.97197,0.5042,6,discharge,0,-2.971,0.99,2.0,2.0,3.7295,3.6977,10.702,05-03-21_16.59_CC_protocol_HPPC_IN21700_30T_cycle_#5.mat
