temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
25,25.97,10.0,0.8661,discharge,-29.811,20.2,4.0435,3.6143,14.3974
25,26.2,10.0,0.8688,charge,4.147,20.2,4.0519,4.1089,13.7459
25,25.68,10.0,0.8211,charge,5.0,20.2,3.9927,4.0625,13.9592
25,25.91,10.0,0.8206,discharge,-29.859,20.2,3.9876,3.5705,13.969
25,25.87,10.0,0.8233,charge,4.997,20.2,3.9953,4.0643,13.8077
25,25.57,10.0,1.0495,discharge,-29.998,2150.0,4.1993,3.6965,16.7611
25,25.36,10.0,1.05,discharge,-29.913,20.2,4.1977,3.7014,16.5914
25,25.24,10.0,1.0077,charge,4.998,20.2,4.1023,4.1813,15.8063
25,25.65,10.0,1.0072,discharge,-29.864,20.2,4.0976,3.6852,13.8093
25,25.02,10.0,0.9624,charge,5.001,20.2,4.0824,4.1501,13.5384
25,25.39,10.0,0.9619,discharge,-29.706,20.2,4.078,3.6694,13.7546
25,25.36,10.0,0.9646,charge,1.7,20.2,4.0838,4.1058,12.945
25,25.5,10.0,0.9172,charge,4.998,20.2,4.0679,4.1346,13.3453
25,25.8,10.0,0.9168,discharge,-29.774,20.2,4.0632,3.6337,14.4253
25,25.87,10.0,0.9195,charge,2.855,20.2,4.0707,4.1082,13.1335
25,25.59,10.0,0.8718,charge,5.0,20.2,4.0202,4.0909,14.1406
25,25.65,10.0,0.8714,discharge,-29.845,20.2,4.0154,3.5892,14.2804
25,25.95,10.0,0.8741,charge,4.997,20.2,4.0241,4.0936,13.9083
25,25.78,10.0,0.8263,charge,5.0,20.2,3.9635,4.0312,13.5411
25,25.45,10.0,0.8258,discharge,-29.889,20.2,3.9586,3.5495,13.6873
25,25.78,10.0,0.8285,charge,4.995,20.2,3.9657,4.0332,13.5146
25,25.71,10.0,0.7807,charge,5.0,20.2,3.9226,3.9878,13.041
25,25.77,10.0,0.7803,discharge,-29.901,20.2,3.9172,3.5142,13.4776
25,25.98,10.0,0.783,charge,4.994,20.2,3.9247,3.9886,12.7951
25,26.17,10.0,0.7352,charge,5.0,20.2,3.8818,3.9525,14.1406
25,25.74,10.0,0.7348,discharge,-29.963,20.2,3.8766,3.4745,13.4199
