cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_12.19_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#108.mat,CAP,108,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_15.46_CC_protocol_halfC_0.5C_dchg_(a2)_IN21700_30T_cycle_#109.mat,halfC,109,6984,0.0,24.63,25.47,25.7,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_15.46_CC_protocol_halfC_CAP_(a2)_forexcel_cycle_#109.mat,CAP,109,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_17.58_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#109.mat,other,109,335,0.0,24.79,26.15,25.45,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_19.14_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#110.mat,other,110,3465,0.0,24.97,25.96,26.28,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_21.42_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#111.mat,other,111,1722,0.0,25.55,27.61,28.17,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-22-21_23.48_CC_protocol_HPPC_IN21700_30T_cycle_#112.mat,HPPC,112,35040,0.0,24.57,25.87,25.84,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-24-21_05.56_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#112.mat,other,112,1051,0.0,24.96,25.66,25.66,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-24-21_06.55_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#113_to_127.mat,drive,113,104373,0.0,24.6,26.05,25.97,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-25-21_12.59_CC_protocol_halfC_0.5C_dchg_(b1)_IN21700_30T_cycle_#128.mat,halfC,128,7005,0.0,24.67,25.52,25.84,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-25-21_12.59_CC_protocol_halfC_CAP_(b1)_forexcel_cycle_#128.mat,CAP,128,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-25-21_16.03_CC_protocol_halfC_0.5C_dchg_(b2)_IN21700_30T_cycle_#129.mat,halfC,129,7001,0.0,24.4,25.41,25.35,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-25-21_16.03_CC_protocol_halfC_CAP_(b2)_forexcel_cycle_#129.mat,CAP,129,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-25-21_18.00_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#129.mat,other,129,1051,0.0,24.34,25.19,25.19,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-25-21_18.57_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#130_to_144.mat,drive,130,104998,0.0,24.38,25.97,26.03,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,Cover20 is not performed this week_#4.mat,other,-1,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-27-21_15.34_CC_protocol_whole_Schedule_IN21700_30T_cycle_#145_week#5.mat,schedule,145,300551,0.0,23.19,25.94,25.95,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,05-27-21_16.53_CC_protocol_OCV_0.05C_IN21700_30T_cycle_#145.mat,OCV,145,2427,0.0,24.35,25.37,25.27,
